Location, Name, Date, Address, Description, CrimeCost, Crimes
"42.2619, -71.1574", "# 7 RESTAURANT", 3/23/2007, "225 Grove West Roxbury, MA, 02132", "Eating & Drinking w/ Take Out", 56, |4/10/2012~52~0|4/10/2012~24~0|4/19/2012~25~3|4/27/2012~14~1|8/7/2012~29~0|8/7/2012~29~0|9/5/2012~4~0|9/12/2012~9~1|1/8/2013~29~0|2/6/2013~10~0|2/6/2013~10~0|2/8/2013~6~0|2/16/2013~2~1|2/17/2013~2~1|3/23/2013~27~1|3/23/2013~27~1|5/22/2013~14~1|8/14/2013~52~0|9/2/2013~10~0|9/30/2013~17~0|11/1/2013~13~0|11/21/2013~9~1|12/31/2013~4~0|1/3/2014~6~0|3/23/2014~37~1|3/24/2014~9~1|3/25/2014~8~0|3/26/2014~3~1|4/19/2014~9~1|7/29/2014~10~0|7/29/2014~3~0|9/10/2014~11~0|10/13/2014~2~1|1/30/2015~2~0|2/8/2015~2~1|3/20/2015~14~1|4/8/2015~27~0|4/8/2015~27~0|4/24/2015~21~0
"42.3583, -71.0626", "21 ST. AMENDMENT", 12/7/2006, "150 Bowdoin Boston, MA, 02108", "Eating & Drinking", 25, |4/12/2012~32~0|7/29/2012~2~0|10/14/2012~1~1|11/12/2012~14~0|11/15/2012~10~0|12/18/2012~20~0|3/2/2013~10~0|3/23/2013~3~0|7/28/2013~8~1|9/21/2013~10~0|11/1/2013~47~1|11/15/2013~4~1|11/29/2013~13~0|2/23/2014~5~0|3/18/2014~2~0|3/28/2014~10~0|5/13/2014~4~0|10/17/2014~34~1|11/17/2014~13~1
"42.3642, -71.0554", "AL DENTE RISTORANTE", 12/7/2006, "109 Salem Boston, MA, 02113", "Eating & Drinking", 74, |4/10/2012~20~0|5/6/2012~52~1|5/7/2012~10~0|5/14/2012~1~1|5/18/2012~6~0|6/1/2012~3~0|6/1/2012~3~0|6/2/2012~11~0|6/3/2012~10~0|6/12/2012~14~1|6/14/2012~9~1|6/15/2012~12~0|7/26/2012~20~0|8/4/2012~14~1|8/5/2012~8~1|9/26/2012~20~0|9/26/2012~20~0|9/26/2012~20~0|10/11/2012~4~0|10/26/2012~2~0|11/16/2012~9~1|11/16/2012~9~1|11/16/2012~9~1|11/18/2012~10~0|2/9/2013~11~0|4/18/2013~2~0|5/12/2013~3~0|5/16/2013~32~0|6/8/2013~20~0|6/21/2013~9~0|7/17/2013~2~0|8/11/2013~12~2|11/8/2013~4~0|11/12/2013~31~0|11/17/2013~4~1|1/26/2014~20~0|2/12/2014~2~0|2/18/2014~10~2|2/21/2014~48~0|3/22/2014~3~0|4/4/2014~2~1|5/1/2014~31~0|5/2/2014~2~0|5/30/2014~2~1|5/31/2014~31~1|7/31/2014~2~0|9/1/2014~4~0|9/6/2014~2~0|9/6/2014~4~0|9/18/2014~10~0|10/4/2014~20~0|10/9/2014~6~0|11/7/2014~2~1|11/25/2014~26~0|11/29/2014~2~0|12/3/2014~4~0|12/12/2014~4~0|1/15/2015~3~0
"42.3756, -71.0539", "American Bakers", 2/14/2008, "39 First Charlestown, MA, 02129", "Eating & Drinking w/ Take Out", 63, |4/30/2012~2~1|5/24/2012~54~0|6/24/2012~10~0|7/2/2012~4~0|8/13/2012~3~0|2/12/2013~45~0|3/10/2013~9~0|3/20/2013~5~0|5/11/2013~44~0|5/28/2013~4~0|5/30/2013~3~0|6/1/2013~32~0|6/21/2013~4~0|7/7/2013~47~0|7/9/2013~38~0|7/21/2013~4~0|7/24/2013~4~0|8/18/2013~4~0|8/21/2013~4~0|8/22/2013~4~0|8/22/2013~4~0|8/28/2013~4~0|8/28/2013~4~1|8/29/2013~51~0|9/22/2013~4~0|10/15/2013~13~0|11/8/2013~46~0|3/11/2014~4~0|4/17/2014~2~1|6/30/2014~4~1|7/10/2014~26~0|7/23/2014~4~0|9/19/2014~8~1|9/30/2014~4~0|10/6/2014~4~0|10/13/2014~4~1|10/13/2014~10~0|10/20/2014~4~1|10/23/2014~4~0|10/29/2014~4~0|11/10/2014~4~0|11/24/2014~8~0|12/20/2014~4~0|2/11/2015~54~0|2/11/2015~8~0|2/26/2015~8~0|3/1/2015~14~1|3/2/2015~2~0|3/4/2015~54~1|3/27/2015~21~0|4/10/2015~36~1|4/11/2015~1~0|4/24/2015~29~0
"42.3785, -71.035", "Angela's Cafe", 8/2/2007, "131 Lexington East Boston, MA, 02128", "Eating & Drinking w/ Take Out", 39, |4/8/2012~25~3|4/9/2012~11~1|4/20/2012~25~2|4/25/2012~6~0|8/18/2012~11~1|9/8/2012~1~0|10/22/2012~52~0|12/23/2012~3~0|1/7/2013~14~1|1/7/2013~14~1|2/27/2013~14~0|3/14/2013~14~0|4/21/2013~25~2|10/29/2013~11~1|12/28/2013~2~1|3/4/2014~2~0|3/21/2014~14~1|4/20/2014~25~3|5/10/2014~25~3|5/28/2014~3~0|7/28/2014~29~0|10/19/2014~21~1|12/17/2014~2~0
"42.3799, -71.0268", "Bar Medallo", 3/23/2011, "411 Chelsea East Boston, MA, 02128", "Eating & Drinking", 83, |4/2/2012~2~1|5/14/2012~12~2|5/27/2012~11~0|5/28/2012~2~0|6/20/2012~2~1|7/8/2012~10~2|8/11/2012~12~1|8/31/2012~2~0|9/5/2012~11~0|10/20/2012~20~0|11/13/2012~8~1|12/8/2012~34~1|12/9/2012~2~1|12/21/2012~50~0|1/7/2013~2~1|2/20/2013~2~0|2/25/2013~2~1|3/14/2013~14~1|4/4/2013~20~0|4/4/2013~3~0|4/14/2013~12~2|5/13/2013~3~0|6/21/2013~21~1|6/28/2013~21~1|7/4/2013~20~0|7/7/2013~2~1|8/4/2013~4~0|8/17/2013~12~1|8/23/2013~2~0|10/17/2013~10~0|11/16/2013~4~0|12/25/2013~21~1|1/26/2014~13~0|3/17/2014~10~0|3/19/2014~9~1|3/19/2014~9~0|3/27/2014~34~0|5/9/2014~3~0|6/27/2014~3~0|6/30/2014~25~0|7/7/2014~3~0|7/23/2014~8~1|8/10/2014~44~0|8/14/2014~45~0|8/22/2014~3~1|8/29/2014~11~1|9/5/2014~21~1|10/23/2014~8~0|11/16/2014~2~0|11/21/2014~31~1|12/11/2014~12~1|12/19/2014~46~0|12/20/2014~10~0|12/25/2014~32~0|12/28/2014~27~1|2/15/2015~12~1|4/10/2015~38~0
"42.3862, -71.0095", "Burger King", 12/7/2006, "944 Bennington East Boston, MA, 02128", "Eating & Drinking w/ Take Out", 0, 
"42.3869, -71.0069", "Cafe Orient Heights", 10/30/2008, "1000 Bennington East Boston, MA, 02128", "Eating & Drinking w/ Take Out", 75, |4/2/2012~14~1|4/3/2012~3~1|5/11/2012~11~0|5/13/2012~2~0|5/18/2012~14~1|5/24/2012~2~0|5/27/2012~39~0|6/10/2012~25~0|6/12/2012~14~1|6/15/2012~2~0|7/10/2012~2~0|7/18/2012~11~0|9/17/2012~24~1|9/20/2012~11~0|9/20/2012~8~3|11/8/2012~14~1|12/4/2012~14~0|12/31/2012~2~0|1/2/2013~11~0|2/2/2013~14~1|4/6/2013~14~1|4/9/2013~10~0|4/17/2013~14~0|4/20/2013~3~0|5/13/2013~8~0|5/22/2013~14~0|7/17/2013~2~0|8/7/2013~4~0|8/30/2013~1~1|9/21/2013~29~0|11/30/2013~34~1|12/18/2013~6~0|1/1/2014~39~0|1/20/2014~2~1|2/8/2014~2~0|3/11/2014~11~0|4/26/2014~11~1|4/27/2014~11~0|5/21/2014~10~0|6/3/2014~29~0|6/3/2014~14~1|7/29/2014~12~1|8/7/2014~2~1|8/18/2014~11~0|9/6/2014~3~0|9/14/2014~2~0|9/24/2014~10~1|10/8/2014~14~1|10/18/2014~8~0|10/18/2014~49~1|11/21/2014~2~1|2/3/2015~2~0|4/19/2015~31~1
"42.3871, -71.0063", "EL PAISA RESTAURANTE", 12/15/2006, "1012 Bennington East Boston, MA, 02128", "Eating & Drinking", 32, |3/22/2012~22~0|4/29/2012~29~0|5/16/2012~4~0|6/24/2012~35~0|9/11/2012~32~0|10/27/2012~29~3|12/29/2012~2~0|2/13/2013~2~0|6/8/2013~9~1|6/12/2013~4~0|7/16/2013~39~0|9/7/2013~14~1|10/2/2013~10~0|11/15/2013~10~0|12/5/2013~14~1|2/17/2014~10~0|4/12/2014~9~1|7/20/2014~3~0|9/5/2014~2~1|10/1/2014~14~1|2/14/2015~2~1|3/11/2015~8~0|4/4/2015~38~0
"42.39, -71.0055", "MADONNA SHRINE", 12/7/2006, "145 Gladstone East Boston, MA, 02128", "Eating & Drinking", 0, 
